customer_id,signup_month,initial_plan
CUST00098,2023-03,Starter
CUST00099,2023-03,Starter
CUST00100,2023-03,Growth
CUST00101,2023-03,Growth
CUST00102,2023-03,Starter
CUST00103,2023-03,Starter
CUST00104,2023-03,Starter
CUST00105,2023-04,Growth
CUST00106,2023-04,Starter
CUST00107,2023-04,Starter
CUST00108,2023-04,Scale
CUST00109,2023-04,Scale
CUST00110,2023-04,Starter
CUST00111,2023-04,Growth
CUST00112,2023-04,Starter
CUST00113,2023-04,Starter
CUST00114,2023-04,Scale
CUST00115,2023-04,Starter
CUST00116,2023-04,Starter
CUST00117,2023-04,Growth
CUST00118,2023-04,Starter
CUST00119,2023-04,Starter
CUST00120,2023-04,Starter
CUST00121,2023-04,Growth
CUST00122,2023-04,Starter
CUST00123,2023-04,Scale
CUST00124,2023-04,Starter
CUST00125,2023-04,Starter
CUST00126,2023-04,Starter
CUST00127,2023-04,Growth
CUST00128,2023-04,Starter
CUST00129,2023-04,Starter
CUST00130,2023-04,Growth
CUST00131,2023-04,Starter
CUST00132,2023-04,Starter
CUST00133,2023-04,Growth
CUST00134,2023-04,Starter
CUST00135,2023-04,Starter
CUST00136,2023-04,Starter
CUST00137,2023-04,Scale
CUST00138,2023-04,Starter
CUST00139,2023-04,Growth
CUST00140,2023-04,Starter
CUST00141,2023-05,Starter
CUST00142,2023-05,Scale
CUST00143,2023-05,Starter
CUST00144,2023-05,Scale
CUST00145,2023-05,Starter
CUST00146,2023-05,Starter
CUST00147,2023-05,Starter
CUST00148,2023-05,Growth
CUST00149,2023-05,Starter
CUST00150,2023-05,Growth
CUST00151,2023-05,Starter
CUST00152,2023-05,Starter
CUST00153,2023-05,Starter
CUST00154,2023-05,Starter
CUST00155,2023-05,Growth
CUST00156,2023-05,Starter
CUST00157,2023-05,Scale
CUST00158,2023-05,Starter
CUST00159,2023-05,Growth
CUST00160,2023-05,Growth
CUST00161,2023-05,Growth
CUST00162,2023-05,Starter
CUST00163,2023-05,Starter
CUST00164,2023-05,Growth
CUST00165,2023-05,Starter
CUST00166,2023-05,Starter
CUST00167,2023-05,Growth
CUST00168,2023-05,Growth
CUST00169,2023-06,Starter
CUST00170,2023-06,Growth
CUST00171,2023-06,Growth
CUST00172,2023-06,Growth
CUST00173,2023-06,Growth
CUST00174,2023-06,Scale
CUST00175,2023-06,Starter
CUST00176,2023-06,Starter
CUST00177,2023-06,Starter
CUST00178,2023-06,Starter
CUST00179,2023-06,Growth
CUST00180,2023-06,Starter
CUST00181,2023-06,Starter
CUST00182,2023-06,Growth
CUST00183,2023-06,Growth
CUST00184,2023-06,Starter
CUST00185,2023-06,Growth
CUST00186,2023-06,Growth
CUST00187,2023-06,Starter
CUST00188,2023-06,Growth
CUST00189,2023-06,Scale
CUST00190,2023-06,Starter
CUST00191,2023-06,Starter
CUST00192,2023-06,Starter
CUST00193,2023-06,Growth
CUST00194,2023-06,Scale
CUST00195,2023-06,Starter
CUST00196,2023-06,Growth
CUST00197,2023-06,Starter
CUST00198,2023-06,Growth
CUST00199,2023-06,Growth
CUST00200,2023-06,Starter
CUST00201,2023-06,Growth
CUST00202,2023-06,Growth
CUST00203,2023-06,Growth
CUST00204,2023-06,Starter
CUST00205,2023-06,Scale
CUST00206,2023-07,Starter
CUST00207,2023-07,Growth
CUST00208,2023-07,Starter
CUST00209,2023-07,Growth
CUST00210,2023-07,Growth
CUST00211,2023-07,Starter
CUST00212,2023-07,Starter
CUST00213,2023-07,Growth
CUST00214,2023-07,Starter
CUST00215,2023-07,Starter
CUST00216,2023-07,Starter
CUST00217,2023-07,Starter
CUST00218,2023-07,Growth
CUST00219,2023-07,Growth
CUST00220,2023-07,Starter
CUST00221,2023-07,Growth
CUST00222,2023-07,Starter
CUST00223,2023-07,Scale
CUST00224,2023-07,Growth
CUST00225,2023-07,Starter
CUST00226,2023-07,Starter
CUST00227,2023-07,Starter
CUST00228,2023-07,Starter
CUST00229,2023-07,Scale
CUST00230,2023-07,Starter
CUST00231,2023-07,Starter
CUST00232,2023-07,Scale
CUST00233,2023-07,Growth
CUST00234,2023-07,Starter
CUST00235,2023-07,Starter
CUST00236,2023-07,Starter
CUST00237,2023-07,Starter
CUST00238,2023-07,Growth
CUST00239,2023-07,Growth
CUST00240,2023-07,Growth
CUST00241,2023-07,Starter
CUST00242,2023-07,Starter
CUST00243,2023-07,Scale
CUST00244,2023-07,Starter
CUST00245,2023-08,Growth
CUST00246,2023-08,Growth
CUST00247,2023-08,Starter
CUST00248,2023-08,Starter
CUST00249,2023-08,Starter
CUST00250,2023-08,Scale
CUST00251,2023-08,Starter
CUST00252,2023-08,Starter
CUST00253,2023-08,Starter
CUST00254,2023-08,Growth
CUST00255,2023-08,Starter
CUST00256,2023-08,Starter
CUST00257,2023-08,Growth
CUST00258,2023-08,Growth
CUST00259,2023-08,Scale
CUST00260,2023-08,Starter
CUST00261,2023-08,Growth
CUST00262,2023-08,Starter
CUST00263,2023-08,Starter
CUST00264,2023-08,Starter
CUST00265,2023-08,Starter
CUST00266,2023-08,Starter
CUST00267,2023-08,Scale
CUST00268,2023-08,Starter
CUST00269,2023-08,Starter
CUST00270,2023-08,Starter
CUST00271,2023-08,Scale
CUST00272,2023-08,Growth
CUST00273,2023-08,Starter
CUST00274,2023-08,Growth
CUST00275,2023-08,Starter
CUST00276,2023-08,Scale
CUST00277,2023-08,Starter
CUST00278,2023-08,Starter
CUST00279,2023-08,Starter
CUST00280,2023-08,Starter
CUST00281,2023-08,Growth
CUST00282,2023-08,Starter
CUST00283,2023-09,Growth
CUST00284,2023-09,Growth
CUST00285,2023-09,Starter
CUST00286,2023-09,Starter
CUST00287,2023-09,Starter
CUST00288,2023-09,Starter
CUST00289,2023-09,Starter
CUST00290,2023-09,Growth
CUST00291,2023-09,Starter
CUST00292,2023-09,Growth
CUST00293,2023-09,Starter
CUST00294,2023-09,Starter
CUST00295,2023-09,Starter
CUST00296,2023-09,Starter
CUST00297,2023-09,Starter
CUST00298,2023-09,Starter
CUST00299,2023-09,Starter
CUST00300,2023-09,Starter
CUST00301,2023-09,Starter
CUST00302,2023-09,Starter
CUST00303,2023-09,Starter
CUST00304,2023-09,Starter
CUST00305,2023-09,Growth
CUST00306,2023-09,Growth
CUST00307,2023-09,Starter
CUST00308,2023-09,Starter
CUST00309,2023-09,Growth
CUST00310,2023-09,Starter
CUST00311,2023-09,Growth
CUST00312,2023-09,Growth
CUST00313,2023-09,Growth
CUST00314,2023-09,Growth
CUST00315,2023-09,Starter
CUST00316,2023-09,Starter
CUST00317,2023-09,Starter
CUST00318,2023-09,Starter
CUST00319,2023-09,Scale
CUST00320,2023-09,Growth
CUST00321,2023-09,Starter
CUST00322,2023-09,Starter
CUST00323,2023-09,Scale
CUST00324,2023-09,Starter
CUST00325,2023-09,Starter
CUST00326,2023-09,Growth
CUST00327,2023-09,Growth
CUST00328,2023-09,Growth
CUST00329,2023-09,Growth
CUST00330,2023-10,Starter
CUST00331,2023-10,Starter
CUST00332,2023-10,Starter
CUST00333,2023-10,Growth
CUST00334,2023-10,Starter
CUST00335,2023-10,Scale
CUST00336,2023-10,Growth
CUST00337,2023-10,Growth
CUST00338,2023-10,Starter
CUST00339,2023-10,Growth
CUST00340,2023-10,Starter
CUST00341,2023-10,Starter
CUST00342,2023-10,Starter
CUST00343,2023-10,Starter
CUST00344,2023-10,Starter
CUST00345,2023-10,Starter
CUST00346,2023-10,Scale
CUST00347,2023-10,Starter
CUST00348,2023-10,Growth
CUST00349,2023-10,Growth
CUST00350,2023-10,Growth
CUST00351,2023-10,Growth
CUST00352,2023-10,Starter
CUST00353,2023-10,Growth
CUST00354,2023-10,Starter
CUST00355,2023-10,Starter
CUST00356,2023-10,Growth
CUST00357,2023-10,Starter
CUST00358,2023-10,Growth
CUST00359,2023-10,Growth
CUST00360,2023-10,Starter
CUST00361,2023-10,Growth
CUST00362,2023-10,Starter
CUST00363,2023-10,Growth
CUST00364,2023-10,Starter
CUST00365,2023-10,Scale
CUST00366,2023-10,Starter
CUST00367,2023-10,Growth
CUST00368,2023-10,Growth
CUST00369,2023-10,Starter
CUST00370,2023-11,Growth
CUST00371,2023-11,Starter
CUST00372,2023-11,Starter
CUST00373,2023-11,Starter
CUST00374,2023-11,Starter
CUST00375,2023-11,Growth
CUST00376,2023-11,Starter
CUST00377,2023-11,Starter
CUST00378,2023-11,Starter
CUST00379,2023-11,Starter
CUST00380,2023-11,Growth
CUST00381,2023-11,Starter
CUST00382,2023-11,Starter
CUST00383,2023-11,Growth
CUST00384,2023-11,Starter
CUST00385,2023-11,Starter
CUST00386,2023-11,Starter
CUST00387,2023-11,Scale
CUST00388,2023-11,Growth
CUST00389,2023-11,Starter
CUST00390,2023-11,Growth
CUST00391,2023-11,Starter
CUST00392,2023-11,Growth
CUST00393,2023-11,Growth
CUST00394,2023-11,Starter
CUST00395,2023-11,Starter
CUST00396,2023-11,Starter
CUST00397,2023-11,Starter
CUST00398,2023-11,Starter
CUST00399,2023-11,Growth
CUST00400,2023-11,Starter
CUST00401,2023-11,Growth
CUST00402,2023-11,Starter
CUST00403,2023-11,Starter
CUST00404,2023-11,Starter
CUST00405,2023-11,Growth
CUST00406,2023-11,Starter
CUST00407,2023-11,Starter
CUST00408,2023-11,Starter
CUST00409,2023-11,Growth
CUST00410,2023-11,Growth
CUST00411,2023-12,Growth
CUST00412,2023-12,Growth
CUST00413,2023-12,Growth
CUST00414,2023-12,Starter
CUST00415,2023-12,Scale
CUST00416,2023-12,Starter
CUST00417,2023-12,Starter
CUST00418,2023-12,Starter
CUST00419,2023-12,Starter
CUST00420,2023-12,Scale
CUST00421,2023-12,Starter
CUST00422,2023-12,Starter
CUST00423,2023-12,Starter
CUST00424,2023-12,Growth
CUST00425,2023-12,Starter
CUST00426,2023-12,Starter
CUST00427,2023-12,Growth
CUST00428,2023-12,Starter
CUST00429,2023-12,Starter
CUST00430,2023-12,Starter
CUST00431,2023-12,Growth
CUST00432,2023-12,Starter
CUST00433,2023-12,Growth
CUST00434,2023-12,Growth
CUST00435,2023-12,Starter
CUST00436,2023-12,Starter
CUST00437,2023-12,Growth
CUST00438,2023-12,Starter
CUST00439,2023-12,Starter
CUST00440,2023-12,Starter
CUST00441,2023-12,Starter
CUST00442,2023-12,Growth
CUST00443,2023-12,Starter
CUST00444,2023-12,Growth
CUST00445,2023-12,Starter
CUST00446,2023-12,Growth
CUST00447,2023-12,Starter
CUST00448,2023-12,Starter
CUST00449,2023-12,Growth
CUST00450,2023-12,Growth
CUST00451,2024-01,Starter
CUST00452,2024-01,Growth
CUST00453,2024-01,Growth
CUST00454,2024-01,Growth
CUST00455,2024-01,Starter
CUST00456,2024-01,Growth
CUST00457,2024-01,Starter
CUST00458,2024-01,Starter
CUST00459,2024-01,Starter
CUST00460,2024-01,Starter
CUST00461,2024-01,Starter
CUST00462,2024-01,Growth
CUST00463,2024-01,Starter
CUST00464,2024-01,Scale
CUST00465,2024-01,Starter
CUST00466,2024-01,Starter
CUST00467,2024-01,Starter
CUST00468,2024-01,Growth
CUST00469,2024-01,Starter
CUST00470,2024-01,Starter
CUST00471,2024-01,Growth
CUST00472,2024-01,Starter
CUST00473,2024-01,Starter
CUST00474,2024-01,Growth
CUST00475,2024-01,Scale
CUST00476,2024-01,Starter
CUST00477,2024-01,Growth
CUST00478,2024-01,Starter
CUST00479,2024-01,Growth
CUST00480,2024-01,Growth
CUST00481,2024-01,Starter
CUST00482,2024-01,Starter
CUST00483,2024-01,Growth
CUST00484,2024-01,Starter
CUST00485,2024-01,Starter
CUST00486,2024-01,Growth
CUST00487,2024-01,Starter
CUST00488,2024-01,Starter
CUST00489,2024-01,Growth
CUST00490,2024-01,Growth
CUST00491,2024-01,Starter
CUST00492,2024-01,Starter
CUST00493,2024-01,Starter
CUST00494,2024-01,Starter
CUST00495,2024-01,Starter
CUST00496,2024-01,Growth
CUST00497,2024-01,Starter
CUST00498,2024-02,Starter
CUST00499,2024-02,Growth
CUST00500,2024-02,Starter
CUST00501,2024-02,Scale
CUST00502,2024-02,Starter
CUST00503,2024-02,Growth
CUST00504,2024-02,Starter
CUST00505,2024-02,Growth
CUST00506,2024-02,Starter
CUST00507,2024-02,Starter
CUST00508,2024-02,Starter
CUST00509,2024-02,Growth
CUST00510,2024-02,Starter
CUST00511,2024-02,Starter
CUST00512,2024-02,Starter
CUST00513,2024-02,Starter
CUST00514,2024-02,Growth
CUST00515,2024-02,Starter
CUST00516,2024-02,Starter
CUST00517,2024-02,Growth
CUST00518,2024-02,Growth
CUST00519,2024-02,Starter
CUST00520,2024-02,Growth
CUST00521,2024-02,Starter
CUST00522,2024-02,Growth
CUST00523,2024-02,Starter
CUST00524,2024-02,Starter
CUST00525,2024-02,Growth
CUST00526,2024-02,Starter
CUST00527,2024-02,Growth
CUST00528,2024-02,Starter
CUST00529,2024-02,Growth
CUST00530,2024-02,Starter
CUST00531,2024-02,Growth
CUST00532,2024-02,Growth
CUST00533,2024-02,Starter
CUST00534,2024-02,Scale
CUST00535,2024-02,Starter
CUST00536,2024-02,Starter
CUST00537,2024-02,Starter
CUST00538,2024-02,Starter
CUST00539,2024-02,Starter
CUST00540,2024-02,Starter
CUST00541,2024-02,Growth
CUST00542,2024-02,Starter
CUST00543,2024-02,Growth
CUST00544,2024-02,Growth
CUST00545,2024-02,Starter
CUST00546,2024-02,Growth
CUST00547,2024-02,Starter
CUST00548,2024-02,Starter
CUST00549,2024-03,Starter
CUST00550,2024-03,Starter
CUST00551,2024-03,Starter
CUST00552,2024-03,Growth
CUST00553,2024-03,Starter
CUST00554,2024-03,Starter
CUST00555,2024-03,Starter
CUST00556,2024-03,Growth
CUST00557,2024-03,Starter
CUST00558,2024-03,Growth
CUST00559,2024-03,Growth
CUST00560,2024-03,Starter
CUST00561,2024-03,Starter
CUST00562,2024-03,Growth
CUST00563,2024-03,Starter
CUST00564,2024-03,Starter
CUST00565,2024-03,Starter
CUST00566,2024-03,Starter
CUST00567,2024-03,Starter
CUST00568,2024-03,Starter
CUST00569,2024-03,Starter
CUST00570,2024-03,Starter
CUST00571,2024-03,Starter
CUST00572,2024-03,Growth
CUST00573,2024-03,Starter
CUST00574,2024-03,Growth
CUST00575,2024-03,Starter
CUST00576,2024-03,Growth
CUST00577,2024-03,Growth
CUST00578,2024-03,Starter
CUST00579,2024-03,Starter
CUST00580,2024-03,Starter
CUST00581,2024-03,Starter
CUST00582,2024-03,Starter
CUST00583,2024-03,Growth
CUST00584,2024-03,Growth
CUST00585,2024-03,Growth
CUST00586,2024-03,Starter
CUST00587,2024-03,Starter
CUST00588,2024-03,Starter
CUST00589,2024-03,Growth
CUST00590,2024-03,Starter
CUST00591,2024-04,Starter
CUST00592,2024-04,Starter
CUST00593,2024-04,Starter
CUST00594,2024-04,Starter
CUST00595,2024-04,Growth
CUST00596,2024-04,Growth
CUST00597,2024-04,Starter
CUST00598,2024-04,Starter
CUST00599,2024-04,Starter
CUST00600,2024-04,Starter
CUST00601,2024-04,Starter
CUST00602,2024-04,Growth
CUST00603,2024-04,Scale
CUST00604,2024-04,Starter
CUST00605,2024-04,Growth
CUST00606,2024-04,Starter
CUST00607,2024-04,Growth
CUST00608,2024-04,Scale
CUST00609,2024-04,Starter
CUST00610,2024-04,Growth
CUST00611,2024-04,Starter
CUST00612,2024-04,Starter
CUST00613,2024-04,Starter
CUST00614,2024-04,Growth
CUST00615,2024-04,Growth
CUST00616,2024-04,Growth
CUST00617,2024-04,Starter
CUST00618,2024-04,Growth
CUST00619,2024-04,Starter
CUST00620,2024-04,Growth
CUST00621,2024-04,Starter
CUST00622,2024-04,Growth
CUST00623,2024-04,Starter
CUST00624,2024-04,Starter
CUST00625,2024-04,Growth
CUST00626,2024-04,Starter
CUST00627,2024-04,Scale
CUST00628,2024-04,Starter
CUST00629,2024-04,Growth
CUST00630,2024-04,Starter
CUST00631,2024-04,Starter
CUST00632,2024-04,Growth
CUST00633,2024-04,Starter
CUST00634,2024-04,Scale
CUST00635,2024-04,Starter
CUST00636,2024-04,Starter
CUST00637,2024-04,Growth
CUST00638,2024-04,Starter
CUST00639,2024-04,Growth
CUST00640,2024-04,Growth
CUST00641,2024-04,Starter
CUST00642,2024-04,Starter
CUST00643,2024-04,Growth
CUST00644,2024-05,Growth
CUST00645,2024-05,Growth
CUST00646,2024-05,Scale
CUST00647,2024-05,Starter
CUST00648,2024-05,Starter
CUST00649,2024-05,Starter
CUST00650,2024-05,Growth
CUST00651,2024-05,Starter
CUST00652,2024-05,Starter
CUST00653,2024-05,Starter
CUST00654,2024-05,Growth
CUST00655,2024-05,Starter
CUST00656,2024-05,Starter
CUST00657,2024-05,Starter
CUST00658,2024-05,Starter
CUST00659,2024-05,Growth
CUST00660,2024-05,Starter
CUST00661,2024-05,Growth
CUST00662,2024-05,Growth
CUST00663,2024-05,Starter
CUST00664,2024-05,Starter
CUST00665,2024-05,Starter
CUST00666,2024-05,Starter
CUST00667,2024-05,Growth
CUST00668,2024-05,Growth
CUST00669,2024-05,Growth
CUST00670,2024-05,Growth
CUST00671,2024-05,Starter
CUST00672,2024-05,Growth
CUST00673,2024-05,Growth
CUST00674,2024-05,Starter
CUST00675,2024-05,Starter
CUST00676,2024-05,Growth
CUST00677,2024-05,Starter
CUST00678,2024-05,Growth
CUST00679,2024-05,Growth
CUST00680,2024-05,Starter
CUST00681,2024-05,Growth
CUST00682,2024-05,Starter
CUST00683,2024-05,Starter
CUST00684,2024-05,Starter
CUST00685,2024-05,Growth
CUST00686,2024-05,Growth
CUST00687,2024-05,Growth
CUST00688,2024-05,Starter
CUST00689,2024-05,Scale
CUST00690,2024-05,Starter
CUST00691,2024-05,Starter
CUST00692,2024-05,Scale
CUST00693,2024-05,Growth
CUST00694,2024-06,Starter
CUST00695,2024-06,Starter
CUST00696,2024-06,Starter
CUST00697,2024-06,Growth
CUST00698,2024-06,Growth
CUST00699,2024-06,Scale
CUST00700,2024-06,Starter
CUST00701,2024-06,Starter
CUST00702,2024-06,Growth
CUST00703,2024-06,Starter
CUST00704,2024-06,Starter
CUST00705,2024-06,Growth
CUST00706,2024-06,Starter
CUST00707,2024-06,Starter
CUST00708,2024-06,Starter
CUST00709,2024-06,Growth
CUST00710,2024-06,Growth
CUST00711,2024-06,Growth
CUST00712,2024-06,Growth
CUST00713,2024-06,Growth
CUST00714,2024-06,Starter
CUST00715,2024-06,Scale
CUST00716,2024-06,Growth
CUST00717,2024-06,Starter
CUST00718,2024-06,Growth
CUST00719,2024-06,Starter
CUST00720,2024-06,Scale
CUST00721,2024-06,Starter
CUST00722,2024-06,Growth
CUST00723,2024-06,Starter
CUST00724,2024-06,Growth
CUST00725,2024-06,Growth
CUST00726,2024-06,Starter
CUST00727,2024-06,Starter
CUST00728,2024-06,Starter
CUST00729,2024-06,Growth
CUST00730,2024-06,Starter
CUST00731,2024-06,Starter
CUST00732,2024-06,Starter
CUST00733,2024-06,Starter
CUST00734,2024-06,Scale
CUST00735,2024-06,Starter
CUST00736,2024-06,Starter
CUST00737,2024-06,Growth
CUST00738,2024-06,Starter
CUST00739,2024-06,Starter
CUST00740,2024-06,Starter
CUST00741,2024-06,Growth
CUST00742,2024-06,Growth
CUST00743,2024-06,Starter
CUST00744,2024-06,Starter
CUST00745,2024-07,Starter
CUST00746,2024-07,Starter
CUST00747,2024-07,Starter
CUST00748,2024-07,Starter
CUST00749,2024-07,Scale
CUST00750,2024-07,Starter
CUST00751,2024-07,Starter
CUST00752,2024-07,Starter
CUST00753,2024-07,Starter
CUST00754,2024-07,Starter
CUST00755,2024-07,Scale
CUST00756,2024-07,Starter
CUST00757,2024-07,Starter
CUST00758,2024-07,Growth
CUST00759,2024-07,Scale
CUST00760,2024-07,Growth
CUST00761,2024-07,Scale
CUST00762,2024-07,Starter
CUST00763,2024-07,Growth
CUST00764,2024-07,Growth
CUST00765,2024-07,Starter
CUST00766,2024-07,Scale
CUST00767,2024-07,Growth
CUST00768,2024-07,Growth
CUST00769,2024-07,Growth
CUST00770,2024-07,Scale
CUST00771,2024-07,Growth
CUST00772,2024-07,Growth
CUST00773,2024-07,Starter
CUST00774,2024-07,Starter
CUST00775,2024-07,Starter
CUST00776,2024-07,Scale
CUST00777,2024-07,Starter
CUST00778,2024-07,Growth
CUST00779,2024-07,Starter
CUST00780,2024-07,Growth
CUST00781,2024-07,Growth
CUST00782,2024-07,Starter
CUST00783,2024-07,Growth
CUST00784,2024-07,Starter
CUST00785,2024-07,Scale
CUST00786,2024-07,Starter
CUST00787,2024-07,Starter
CUST00788,2024-07,Growth
CUST00789,2024-07,Starter
CUST00790,2024-07,Starter
CUST00791,2024-08,Starter
CUST00792,2024-08,Starter
CUST00793,2024-08,Starter
CUST00794,2024-08,Starter
CUST00795,2024-08,Starter
CUST00796,2024-08,Growth
CUST00797,2024-08,Starter
CUST00798,2024-08,Starter
CUST00799,2024-08,Starter
CUST00800,2024-08,Starter
CUST00801,2024-08,Starter
CUST00802,2024-08,Starter
CUST00803,2024-08,Starter
CUST00804,2024-08,Starter
CUST00805,2024-08,Growth
CUST00806,2024-08,Starter
CUST00807,2024-08,Starter
CUST00808,2024-08,Growth
CUST00809,2024-08,Starter
CUST00810,2024-08,Starter
CUST00811,2024-08,Growth
CUST00812,2024-08,Starter
CUST00813,2024-08,Starter
CUST00814,2024-08,Starter
CUST00815,2024-08,Starter
CUST00816,2024-08,Starter
CUST00817,2024-08,Starter
CUST00818,2024-08,Starter
CUST00819,2024-08,Starter
CUST00820,2024-08,Growth
CUST00821,2024-08,Starter
CUST00822,2024-08,Scale
CUST00823,2024-08,Growth
CUST00824,2024-08,Starter
CUST00825,2024-08,Starter
CUST00826,2024-08,Growth
CUST00827,2024-08,Starter
CUST00828,2024-08,Starter
CUST00829,2024-08,Starter
CUST00830,2024-08,Growth
CUST00831,2024-08,Starter
CUST00832,2024-08,Scale
CUST00833,2024-08,Starter
CUST00834,2024-08,Scale
CUST00835,2024-08,Growth
CUST00836,2024-08,Starter
CUST00837,2024-08,Starter
CUST00838,2024-08,Growth
CUST00839,2024-08,Starter
CUST00840,2024-08,Starter
CUST00841,2024-08,Starter
CUST00842,2024-08,Growth
CUST00843,2024-08,Starter
CUST00844,2024-08,Scale
CUST00845,2024-08,Starter
CUST00846,2024-08,Scale
CUST00847,2024-08,Starter
CUST00848,2024-08,Starter
CUST00849,2024-08,Growth
CUST00850,2024-08,Starter
CUST00851,2024-08,Starter
CUST00852,2024-08,Growth
CUST00853,2024-08,Starter
CUST00854,2024-09,Starter
CUST00855,2024-09,Growth
CUST00856,2024-09,Growth
CUST00857,2024-09,Starter
CUST00858,2024-09,Starter
CUST00859,2024-09,Growth
CUST00860,2024-09,Growth
CUST00861,2024-09,Growth
CUST00862,2024-09,Scale
CUST00863,2024-09,Growth
CUST00864,2024-09,Starter
CUST00865,2024-09,Starter
CUST00866,2024-09,Growth
CUST00867,2024-09,Growth
CUST00868,2024-09,Growth
CUST00869,2024-09,Growth
CUST00870,2024-09,Growth
CUST00871,2024-09,Starter
CUST00872,2024-09,Starter
CUST00873,2024-09,Growth
CUST00874,2024-09,Starter
CUST00875,2024-09,Growth
CUST00876,2024-09,Scale
CUST00877,2024-09,Growth
CUST00878,2024-09,Starter
CUST00879,2024-09,Growth
CUST00880,2024-09,Growth
CUST00881,2024-09,Growth
CUST00882,2024-09,Starter
CUST00883,2024-09,Starter
CUST00884,2024-09,Growth
CUST00885,2024-09,Starter
CUST00886,2024-09,Starter
CUST00887,2024-09,Starter
CUST00888,2024-09,Growth
CUST00889,2024-09,Starter
CUST00890,2024-09,Starter
CUST00891,2024-09,Scale
CUST00892,2024-09,Growth
CUST00893,2024-09,Starter
CUST00894,2024-09,Starter
CUST00895,2024-09,Starter
CUST00896,2024-09,Growth
CUST00897,2024-09,Growth
CUST00898,2024-09,Starter
CUST00899,2024-09,Growth
CUST00900,2024-09,Growth
CUST00901,2024-09,Starter
CUST00902,2024-09,Starter
CUST00903,2024-09,Growth
CUST00904,2024-09,Scale
CUST00905,2024-09,Starter
CUST00906,2024-09,Starter
CUST00907,2024-09,Scale
CUST00908,2024-09,Growth
CUST00909,2024-09,Starter
CUST00910,2024-09,Starter
CUST00911,2024-09,Growth
CUST00912,2024-09,Starter
CUST00913,2024-09,Growth
CUST00914,2024-10,Scale
CUST00915,2024-10,Starter
CUST00916,2024-10,Growth
CUST00917,2024-10,Starter
CUST00918,2024-10,Growth
CUST00919,2024-10,Starter
CUST00920,2024-10,Starter
CUST00921,2024-10,Starter
CUST00922,2024-10,Starter
CUST00923,2024-10,Starter
CUST00924,2024-10,Starter
CUST00925,2024-10,Starter
CUST00926,2024-10,Starter
CUST00927,2024-10,Growth
CUST00928,2024-10,Growth
CUST00929,2024-10,Starter
CUST00930,2024-10,Growth
CUST00931,2024-10,Starter
